torso_pitch_des, torso_roll_des, torso_yaw_des, l_shoulder_pitch_des, l_shoulder_roll_des, l_shoulder_yaw_des, l_elbow_des, r_shoulder_pitch_des, r_shoulder_roll_des, r_shoulder_yaw_des, r_elbow_des, l_hip_pitch_des, l_hip_roll_des, l_hip_yaw_des, l_knee_des, l_ankle_pitch_des, l_ankle_roll_des, r_hip_pitch_des, r_hip_roll_des, r_hip_yaw_des, r_knee_des, r_ankle_pitch_des, r_ankle_roll_des, torso_pitch, torso_roll, torso_yaw, l_shoulder_pitch, l_shoulder_roll, l_shoulder_yaw, l_elbow, r_shoulder_pitch, r_shoulder_roll, r_shoulder_yaw, r_elbow, l_hip_pitch, l_hip_roll, l_hip_yaw, l_knee, l_ankle_pitch, l_ankle_roll, r_hip_pitch, r_hip_roll, r_hip_yaw, r_knee, r_ankle_pitch, r_ankle_roll, base_x, base_y, base_z, com_x, com_y, com_z, des_com_x, des_com_y, des_com_z, lf_des_x, lf_des_y, lf_des_z, lf_meas_x, lf_meas_y, lf_meas_z, lf_meas_d_x, lf_meas_d_y, lf_meas_d_z, rf_des_x, rf_des_y, rf_des_z, rf_meas_x, rf_meas_y, rf_meas_z, rf_meas_d_x, rf_meas_d_y, rf_meas_d_z , zmp_des_x, zmp_des_y, zmp_meas_x, zmp_meas_y, dcom_x, dcom_y, dcom_z, des_dcom_x, des_dcom_y, des_dcom_z,d_torso_pitch_des, d_torso_roll_des, d_torso_yaw_des, d_l_shoulder_pitch_des, d_l_shoulder_roll_des, d_l_shoulder_yaw_des, d_l_elbow_des, d_r_shoulder_pitch_des, d_r_shoulder_roll_des, d_r_shoulder_yaw_des, d_r_elbow_des, d_l_hip_pitch_des, d_l_hip_roll_des, d_l_hip_yaw_des, d_l_knee_des, d_l_ankle_pitch_des, d_l_ankle_roll_des, d_r_hip_pitch_des, d_r_hip_roll_des, d_r_hip_yaw_des, d_r_knee_des, d_r_ankle_pitch_des, d_r_ankle_roll_des, d_torso_pitch, d_torso_roll, d_torso_yaw, d_l_shoulder_pitch, d_l_shoulder_roll, d_l_shoulder_yaw, d_l_elbow, d_r_shoulder_pitch, d_r_shoulder_roll, d_r_shoulder_yaw, d_r_elbow, d_l_hip_pitch, d_l_hip_roll, d_l_hip_yaw, d_l_knee, d_l_ankle_pitch, d_l_ankle_roll, d_r_hip_pitch, d_r_hip_roll, d_r_hip_yaw, d_r_knee, d_r_ankle_pitch, d_r_ankle_roll, rf_adj_x, rf_adj_y, rf_adj_z, lf_adj_x, lf_adj_y, lf_adj_z, external_fx, external_fy, external_fz, external_taux, external_tauy, external_tauz, computational_time, ang_mom_x, ang_mom_y, ang_mom_z , contact_0_corner_0_x , contact_0_corner_0_y , contact_0_corner_0_z , contact_0_corner_1_x , contact_0_corner_1_y , contact_0_corner_1_z , contact_0_corner_2_x , contact_0_corner_2_y , contact_0_corner_2_z , contact_0_corner_3_x , contact_0_corner_3_y , contact_0_corner_3_z , contact_1_corner_0_x , contact_1_corner_0_y , contact_1_corner_0_z , contact_1_corner_1_x , contact_1_corner_1_y , contact_1_corner_1_z , contact_1_corner_2_x , contact_1_corner_2_y , contact_1_corner_2_z , contact_1_corner_3_x , contact_1_corner_3_y , contact_1_corner_3_z
0.273862, -2.87904e-05, -4.60733e-05, -0.0318113, 0.372263, 0.193122, 0.522064, -0.0318348, 0.372241, 0.193126, 0.52207, 0.0720695, 0.027981, -0.00995872, -0.868866, -0.525707, -0.0292086, 0.0719225, 0.0283446, -0.0101604, -0.86834, -0.525332, -0.0305879, 0.277754, 0.000345671, -4.94451e-05, -0.0314742, 0.371277, 0.19321, 0.521931, -0.0315163, 0.371308, 0.193215, 0.521938, 0.0717727, 0.0270135, -0.00967334, -0.870602, -0.526242, -0.0282767, 0.071541, 0.0274741, -0.00992926, -0.869903, -0.525789, -0.0299972, -0.0125381, 0.0010449, 0.574472, -0.00406883, 0.00141967, 0.551056, -0.00418565, 0.00117278, 0.551152, 0, 0.08, 0, 6.93889e-17, 0.08, -8.32667e-17, 0.000668514, 0.0804826, -0.000179341,0, -0.08, 0, -4.68024e-06, -0.0786735, -2.8752e-05, 0.000666875, -0.0791663, -0.000207472, -0.00955047, 0.0183295, -0.00269212, 0.00522686, -0.00161022, -0.000552087, 0.000264338, 0.00085506, -0.00304157, -1.47692e-06, -0.00434348, 0.000619203, 0.000996852, -0.000491158, -0.000640518, 4.90033e-05, 0.000145581, 2.48172e-05, 0.000881727, -7.84582e-05, -5.24246e-05, -0.00478511, 0.00743871, -0.00352598, 0.0113607, 0.000459218, -0.0196442, 0.00285692, -0.00402455, 0.00271795, -0.00578971, -0.00887784, 0.0161002, -0.01644, -0.0139421, -0.00577448, -0.00184671, 0.0022246, -0.000238969, -0.000348093, -0.00344763, 0.00172644, -0.000741759, 0.000880325, -0.00729247, -0.000236986, 0.000882213, 0.00127128, 0.00106859, 0.00117108, -0.00592594, 0.00161292, -0.00250622, -0.00200102, 0.000341606, -0.0159417, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.000197189, -0.00061315, -5.20256e-06, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.273812, -1.9802e-05, -3.2285e-05, -0.0318179, 0.372253, 0.193122, 0.522066, -0.0318341, 0.372252, 0.193125, 0.522069, 0.072002, 0.0280784, -0.0100056, -0.868722, -0.525721, -0.0294768, 0.0719621, 0.0282805, -0.0101192, -0.868437, -0.525477, -0.0303535, 0.277553, 0.000276042, -0.000132132, -0.0314514, 0.371318, 0.193207, 0.521925, -0.0315249, 0.371265, 0.193216, 0.521938, 0.0717513, 0.0270177, -0.0096616, -0.870631, -0.526254, -0.0284573, 0.0715008, 0.0274925, -0.00991819, -0.869902, -0.525789, -0.029979, -0.0125406, 0.000953346, 0.574454, -0.00408487, 0.00132769, 0.55104, -0.0041771, 0.00114236, 0.551152, 0, 0.08, 0, 4.16334e-17, 0.08, -9.71445e-17, 0.000697493, 0.0805286, -0.000193667,0, -0.08, 0, -9.11279e-06, -0.0786704, -6.0621e-05, 0.000692257, -0.0791378, -0.000232151, -0.00952288, 0.0183685, -0.00185504, 0.0045645, -0.00259447, -0.00984767, -0.00121209, 0.00171012, -0.00608313, -2.95384e-06, -0.00501395, 0.000898844, 0.00137883, -0.000659551, -0.0010583, 8.30561e-05, 0.000186139, 6.64479e-05, 0.00108707, -9.62477e-05, -9.25062e-05, -0.00675618, 0.00973277, -0.0046847, 0.0143829, -0.00142224, -0.0268183, 0.00396296, -0.00640383, 0.0041203, -0.00972286, -0.0145635, 0.0234387, -0.0224179, 0.00857216, -0.0088914, 0.0063877, 0.00871801, -0.000139024, -0.0018858, 0.00129378, -0.0131811, 0.00141491, 0.000636858, -0.00372305, -0.00620192, 0.00256401, 0.0068998, 0.00647752, -0.0205508, -0.000396441, 0.00853953, -0.000204814, -0.00188276, 0.000747971, 0.0078641, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.000394377, -0.0012263, -1.04051e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.273743, -8.22347e-06, -1.46947e-05, -0.0318269, 0.37224, 0.193123, 0.522069, -0.0318338, 0.372267, 0.193124, 0.522068, 0.0719185, 0.0281978, -0.010063, -0.868521, -0.52574, -0.0298139, 0.0720155, 0.0281935, -0.0100641, -0.868544, -0.525665, -0.0300483, 0.277353, 0.000365528, -0.000200156, -0.0313939, 0.37141, 0.193204, 0.521899, -0.0314974, 0.371129, 0.193228, 0.521946, 0.0716971, 0.0270415, -0.00969005, -0.870579, -0.526222, -0.0287331, 0.071504, 0.0274651, -0.00989222, -0.869953, -0.525788, -0.0298569, -0.0125415, 0.000812816, 0.57444, -0.00409914, 0.00120655, 0.551027, -0.00416, 0.00108153, 0.551152, 0, 0.08, 0, 1.249e-16, 0.08, 1.38778e-17, 0.000724194, 0.0805723, -0.00020152,0, -0.08, 0, -2.55848e-06, -0.0786589, -8.89512e-05, 0.000719775, -0.0791109, -0.000252976, -0.00949585, 0.0184052, -0.00101139, 0.00399929, -0.000207354, -0.00163974, 0.00089064, 0.00256518, -0.0091247, -4.43076e-06, -0.00684414, 0.00115785, 0.00175903, -0.000898679, -0.00125267, 9.66711e-05, 0.000255223, 3.03698e-05, 0.00148801, -0.00013261, -0.000101042, -0.00834386, 0.0119474, -0.00574734, 0.0200684, -0.00193095, -0.0337128, 0.0053389, -0.00869911, 0.00551245, -0.0107547, -0.0187549, 0.0305225, -0.0191254, 0.0072685, -0.00413397, 0.00405742, 0.00696661, -0.00103472, -0.00309877, 0.00328097, -0.0104916, 0.000560084, 0.000769807, -0.00290213, 0.00376726, -0.00653054, 0.00796665, 0.00348604, -0.00674577, 0.00681002, -0.0107216, 0.00269047, -0.00924285, 0.00882624, 0.00424939, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.000588583, -0.00183861, -1.56077e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.273669, 6.79803e-06, 8.45612e-06, -0.031838, 0.372222, 0.193125, 0.522072, -0.0318326, 0.372285, 0.193122, 0.522066, 0.0718094, 0.0283492, -0.0101371, -0.868278, -0.52577, -0.0302543, 0.0720861, 0.0280739, -0.00999002, -0.868706, -0.525916, -0.0296383, 0.277353, 0.000365528, -0.000200156, -0.0313939, 0.37141, 0.193204, 0.521899, -0.0314974, 0.371129, 0.193228, 0.521946, 0.0716971, 0.0270415, -0.00969005, -0.870579, -0.526222, -0.0287331, 0.071504, 0.0274651, -0.00989222, -0.869953, -0.525788, -0.0298569, -0.0125415, 0.000812816, 0.57444, -0.00409914, 0.00120655, 0.551027, -0.00413435, 0.000990285, 0.551152, 0, 0.08, 0, 4.16334e-17, 0.08, 1.66533e-16, 0.000742378, 0.0806257, -0.000220406,0, -0.08, 0, -2.55848e-06, -0.0786589, -8.89512e-05, 0.000734954, -0.0790733, -0.000238683, -0.00947883, 0.0184523, -0.000711456, 0.00374859, -0.000207287, -0.00163992, 0.000889823, 0.00342024, -0.0121663, -5.90768e-06, -0.00741819, 0.00150215, 0.00231508, -0.00110438, -0.00180814, 0.000142218, 0.000311106, 0.000121686, 0.00181576, -0.000160613, -0.000159518, -0.0109163, 0.015136, -0.00740977, 0.0243507, -0.00295914, -0.0440435, 0.00705794, -0.0119595, 0.00740446, -0.0161917, -0.025108, 0.0410003, -0.0191254, 0.0072685, -0.00413397, 0.00405742, 0.00696661, -0.00103472, -0.00309877, 0.00328097, -0.0104916, 0.000560084, 0.000769807, -0.00290213, 0.00376726, -0.00653054, 0.00796665, 0.00348604, -0.00674577, 0.00681002, -0.0107216, 0.00269047, -0.00924285, 0.00882624, 0.00424939, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.000776823, -0.00244925, -2.08103e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.273577, 2.4365e-05, 3.5592e-05, -0.0318514, 0.372202, 0.193126, 0.522075, -0.0318317, 0.372307, 0.19312, 0.522065, 0.0716838, 0.0285234, -0.0102222, -0.867977, -0.525805, -0.0307667, 0.0721708, 0.0279308, -0.00990169, -0.86888, -0.526211, -0.0291546, 0.277141, 0.000630256, -0.00030923, -0.031322, 0.371464, 0.1932, 0.521877, -0.0314458, 0.371036, 0.193246, 0.521939, 0.0716054, 0.0271138, -0.00974902, -0.870519, -0.526162, -0.0290875, 0.0714966, 0.0273854, -0.00985056, -0.870073, -0.52583, -0.0296124, -0.0125524, 0.000632414, 0.574424, -0.00412738, 0.00106508, 0.551013, -0.00410014, 0.000868623, 0.551152, 0, 0.08, 0, 1.38778e-17, 0.08, -1.66533e-16, 0.0008001, 0.0806659, -0.000236604,0, -0.08, 0, 3.18028e-06, -0.0786508, -0.000112098, 0.000793576, -0.0790482, -0.000253813, -0.00942074, 0.0184862, -0.000708305, 0.00375256, -0.00123499, -0.00388147, 0.000573999, 0.0042753, -0.0152078, -7.38461e-06, -0.00920705, 0.0017567, 0.00271358, -0.00134695, -0.00202136, 0.000157427, 0.000380938, 8.97795e-05, 0.00222062, -0.000197266, -0.00017024, -0.0125518, 0.0174198, -0.00850389, 0.0300746, -0.00353873, -0.0512336, 0.0084747, -0.0143085, 0.00883277, -0.0173971, -0.0294913, 0.0483672, -0.0318181, 0.0277877, -0.00975692, 0.0078418, -0.00182333, -0.000260376, -0.00271124, 0.00810483, -0.00235214, 0.00145905, -0.000868101, -0.00545617, 0.0103228, -0.000132116, 0.00804532, 0.00252352, -0.0150129, 0.0045811, -0.0129695, 0.0043075, -0.0105671, -0.000163911, 0.0212397, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.000956116, -0.00305737, -2.60128e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.273473, 4.33779e-05, 6.43876e-05, -0.0318663, 0.372181, 0.193128, 0.52208, -0.0318313, 0.372331, 0.193118, 0.522063, 0.0715505, 0.028707, -0.010311, -0.867651, -0.525857, -0.0313051, 0.07226, 0.0277776, -0.00980697, -0.869057, -0.526537, -0.0286432, 0.276821, 0.00117933, -0.000437976, -0.031248, 0.371468, 0.193198, 0.521853, -0.031406, 0.371, 0.193252, 0.521925, 0.0714777, 0.0272584, -0.00987194, -0.870422, -0.526181, -0.0298618, 0.071522, 0.0272472, -0.00975086, -0.870303, -0.526005, -0.0290806, -0.0125149, 0.000238459, 0.574383, -0.00411533, 0.000747312, 0.550976, -0.00405739, 0.000716544, 0.551152, 0, 0.08, 0, 6.93889e-17, 0.08, -2.77556e-17, 0.000868436, 0.0806925, -0.00025719,0, -0.08, 0, 1.31234e-05, -0.0786422, -0.000173009, 0.000868254, -0.0790359, -0.000318601, -0.00934993, 0.0185065, -0.000557086, 0.00496774, 0.00799125, -0.126337, -0.0204584, 0.00513036, -0.0182494, -8.86153e-06, -0.0103679, 0.00190129, 0.00287956, -0.00148112, -0.00211405, 0.000163626, 0.000412979, 3.76843e-05, 0.002366, -0.000211035, -0.000169241, -0.013332, 0.0183631, -0.00887845, 0.0326195, -0.0051729, -0.0538488, 0.008917, -0.0153269, 0.00947178, -0.0176588, -0.0326797, 0.0511448, -0.027389, 0.0779338, -0.0213071, 0.00469438, 0.00364614, 0.00139519, -0.00114365, -0.00264633, -0.00550611, 0.000274949, -0.0039181, -0.0103259, 0.0409569, -0.0458083, -0.0212325, -0.0305727, -0.281691, 0.0107587, -0.0356107, 0.0238876, -0.060828, -0.0598396, 0.13877, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.00112348, -0.00366213, -3.12154e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.27336, 6.42405e-05, 9.62513e-05, -0.0318826, 0.372157, 0.19313, 0.522084, -0.031831, 0.372357, 0.193116, 0.522061, 0.0714046, 0.0289068, -0.0104075, -0.867291, -0.525919, -0.0318947, 0.0723582, 0.0276074, -0.009702, -0.86925, -0.526902, -0.0280792, 0.276355, 0.00195339, -0.000590766, -0.0311732, 0.371431, 0.193201, 0.521841, -0.0313843, 0.371014, 0.193255, 0.521921, 0.0712495, 0.0274785, -0.0099743, -0.870116, -0.526079, -0.0304562, 0.0715263, 0.0270558, -0.00966011, -0.870553, -0.526278, -0.0284901, -0.0124841, -6.37709e-05, 0.574385, -0.0041207, 0.00053855, 0.55098, -0.00400609, 0.00053405, 0.551152, 0, 0.08, 0, -1.52656e-16, 0.08, 5.55112e-17, 0.00094559, 0.0806742, -0.000256407,0, -0.08, 0, 1.1401e-05, -0.0786595, -0.000167287, 0.000944622, -0.0790678, -0.000320065, -0.00927307, 0.0184826, -0.00124678, 0.00674663, 0.000985809, 0.0157479, 0.00839664, 0.00598542, -0.021291, -1.03384e-05, -0.0113559, 0.00208626, 0.00318637, -0.00163821, -0.00232759, 0.000180046, 0.000454886, 3.05944e-05, 0.00259415, -0.000231545, -0.000184734, -0.014594, 0.0199827, -0.00965881, 0.0359515, -0.00619814, -0.0589508, 0.00982632, -0.0170145, 0.0104971, -0.0192667, -0.0364207, 0.0563964, -0.0577577, 0.0762993, -0.0091401, 0.00663414, -0.00954048, -0.000780613, -0.00257626, 0.00309291, 0.00649449, -0.0010723, 0.00204498, -0.0278761, 0.0249284, -0.0102969, 0.0489087, 0.0155682, 0.015657, 0.0013748, -0.0234229, 0.0107717, -0.0197596, -0.0259371, 0.0400277, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.00127592, -0.0042627, -3.6418e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.273248, 8.65558e-05, 0.000130189, -0.0318996, 0.372132, 0.193132, 0.522089, -0.0318301, 0.372384, 0.193114, 0.522059, 0.0712489, 0.0291195, -0.010511, -0.866917, -0.525978, -0.0325259, 0.0724644, 0.0274233, -0.00958941, -0.869467, -0.527285, -0.0274722, 0.275687, 0.00284941, -0.00067552, -0.0311516, 0.371347, 0.193199, 0.52184, -0.0313902, 0.371089, 0.193249, 0.521928, 0.0710262, 0.0277955, -0.010108, -0.869699, -0.526049, -0.03114, 0.0716238, 0.0267554, -0.00949277, -0.870856, -0.526696, -0.0277887, -0.0123916, -0.000411277, 0.5744, -0.00406949, 0.000305336, 0.550996, -0.00394623, 0.000321141, 0.551152, 0, 0.08, 0, 2.77556e-17, 0.08, -5.55112e-17, 0.00098111, 0.0806105, -0.00024941,0, -0.08, 0, 1.54403e-05, -0.0786633, -0.0001431, 0.000979174, -0.0791444, -0.00030805, -0.00923792, 0.0184137, -0.00339871, 0.00962787, 0.00461578, -0.0246449, 0.00231216, 0.00684048, -0.0243325, -1.18154e-05, -0.0112117, 0.00223154, 0.00339374, -0.00169629, -0.00255856, 0.000199376, 0.000473532, 9.35414e-05, 0.00272487, -0.000242319, -0.000212885, -0.0155624, 0.021268, -0.010346, 0.0374585, -0.00588668, -0.0631223, 0.0106176, -0.0184111, 0.0112591, -0.021765, -0.0383125, 0.0607014, -0.0720173, 0.0781126, 0.00160901, -0.00642732, -0.0165238, -0.000597662, 0.00180832, -0.00360336, 0.0201124, -0.00130758, 0.00129025, -0.0150723, 0.0342136, -0.00870401, 0.0466713, 0.00748677, -0.0693062, 0.0143403, -0.0327314, 0.0197569, -0.0224057, -0.033501, 0.0358544, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.00141047, -0.00485825, -4.16205e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.273126, 0.00011181, 0.00016973, -0.0319188, 0.372102, 0.193134, 0.522094, -0.0318285, 0.372416, 0.193111, 0.522056, 0.0710719, 0.0293635, -0.0106308, -0.86648, -0.526023, -0.0332609, 0.0725916, 0.0272072, -0.00945821, -0.869719, -0.527707, -0.0267598, 0.275687, 0.00284941, -0.00067552, -0.0311516, 0.371347, 0.193199, 0.52184, -0.0313902, 0.371089, 0.193249, 0.521928, 0.0710262, 0.0277955, -0.010108, -0.869699, -0.526049, -0.03114, 0.0716238, 0.0267554, -0.00949277, -0.870856, -0.526696, -0.0277887, -0.0123916, -0.000411277, 0.5744, -0.00406949, 0.000305336, 0.550996, -0.00387783, 7.78152e-05, 0.551152, 0, 0.08, 0, 0, 0.08, -1.52656e-16, 0.00101737, 0.0807039, -0.000283827,0, -0.08, 0, 1.54403e-05, -0.0786633, -0.0001431, 0.00100912, -0.0790633, -0.000278775, -0.0092041, 0.0185024, -0.0059076, 0.0137444, 0.00461717, -0.0246454, 0.00229889, 0.00769554, -0.0273741, -1.32923e-05, -0.0122094, 0.00252542, 0.00395413, -0.00192461, -0.00293614, 0.000229134, 0.000548558, 0.000161664, 0.00322565, -0.000286075, -0.000252045, -0.017702, 0.0243946, -0.0119844, 0.0436762, -0.00453073, -0.0735028, 0.0127212, -0.021616, 0.0131205, -0.0251746, -0.0422387, 0.0712352, -0.0720173, 0.0781126, 0.00160901, -0.00642732, -0.0165238, -0.000597662, 0.00180832, -0.00360336, 0.0201124, -0.00130758, 0.00129025, -0.0150723, 0.0342136, -0.00870401, 0.0466713, 0.00748677, -0.0693062, 0.0143403, -0.0327314, 0.0197569, -0.0224057, -0.033501, 0.0358544, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.00152415, -0.00544792, -4.68231e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.272999, 0.000139222, 0.000212562, -0.0319393, 0.37207, 0.193137, 0.5221, -0.0318264, 0.372451, 0.193108, 0.522054, 0.0708809, 0.0296263, -0.0107604, -0.866013, -0.526067, -0.0340554, 0.0727301, 0.0269713, -0.00931575, -0.869998, -0.52816, -0.0259867, 0.275037, 0.00367319, -0.000640139, -0.0312748, 0.371167, 0.1932, 0.521894, -0.0314695, 0.371346, 0.193224, 0.52194, 0.0708202, 0.0281043, -0.0102324, -0.8692, -0.526043, -0.031945, 0.0717711, 0.026457, -0.00931365, -0.871157, -0.527139, -0.0270106, -0.0122673, -0.000820689, 0.574413, -0.00397943, 2.78334e-06, 0.55101, -0.00380087, -0.000195926, 0.551152, 0, 0.08, 0, -1.38778e-17, 0.08, -9.71445e-17, 0.00101961, 0.080673, -0.000276404,0, -0.08, 0, 1.27021e-05, -0.078657, -0.000131736, 0.00100849, -0.0791059, -0.000272777, -0.00920297, 0.0184668, -0.00590951, 0.0137473, 0.00950141, -0.0290207, 0.00136268, 0.0085506, -0.0304157, -1.47692e-05, -0.0126689, 0.00274116, 0.00428317, -0.00204948, -0.00320994, 0.00025127, 0.000586334, 0.000209892, 0.00346571, -0.000306835, -0.000280931, -0.0191065, 0.0262837, -0.012952, 0.0467346, -0.00436371, -0.0794451, 0.0138428, -0.023588, 0.0142456, -0.0278645, -0.0452327, 0.077313, -0.0660016, 0.0637679, 0.014589, -0.0167926, -0.0243531, 0.000679534, 0.00712537, -0.00759552, 0.0346518, -0.00200276, 0.00131404, -0.0110717, 0.0295751, -0.00715837, 0.0450911, -0.00192522, -0.0743335, 0.0202601, -0.0295902, 0.0156791, -0.0256413, -0.038178, 0.0566826, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.00161396, -0.00603088, -5.20256e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
0.272872, 0.000166928, 0.00025513, -0.0319597, 0.372039, 0.193139, 0.522106, -0.0318243, 0.372486, 0.193104, 0.522051, 0.0706936, 0.029888, -0.0108893, -0.865536, -0.526091, -0.0348424, 0.072871, 0.026735, -0.00917371, -0.870264, -0.528591, -0.0252195, 0.274513, 0.00439953, -0.000498675, -0.0313977, 0.371059, 0.193212, 0.521949, -0.0315323, 0.371504, 0.193192, 0.521937, 0.0704997, 0.0284988, -0.0104093, -0.86867, -0.52613, -0.0332755, 0.0718873, 0.0261148, -0.00910403, -0.87159, -0.527832, -0.0258095, -0.0120892, -0.00149727, 0.574391, -0.00384059, -0.000554683, 0.550988, -0.00371537, -0.000500083, 0.551152, 0, 0.08, 0, 1.80411e-16, 0.08, 2.498e-16, 0.00107019, 0.080629, -0.000272455,0, -0.08, 0, 2.53491e-05, -0.0786702, -0.000169409, 0.00105949, -0.079161, -0.000332374, -0.00915221, 0.0184182, -0.0084256, 0.0158948, 0.00871168, -0.0453444, 0.00066278, 0.00940566, -0.0334572, -1.62461e-05, -0.0126844, 0.00277062, 0.00425686, -0.00203953, -0.00307907, 0.000240025, 0.000592841, 0.000204838, 0.00355101, -0.000314496, -0.000268779, -0.0187253, 0.0261737, -0.0128942, 0.0476679, -0.00245376, -0.0787036, 0.0140908, -0.0236254, 0.0142042, -0.0266551, -0.0431818, 0.0767199, 0.00206925, 0.0909508, 0.0024926, -0.0184684, 0.013911, -0.00115607, 0.00624411, -0.0170709, -0.00390882, -0.00521991, -0.00442852, -0.0897479, 0.0352416, -0.00248344, 0.0835892, 0.0131753, -0.112513, -0.0422248, -0.0195334, -0.000623914, -0.0152904, -0.0486837, 0.0814269, 0, -0.08, 0, 0, 0.08, 0, 0, 0, 0, 0, 0, 0, 67589, -0.00167692, -0.0066063, -5.72282e-05, 0.00972938, -0.0853545, 1.45216, 0.0098845, -0.0853545, 1.36399, 0.0098845, -0.0857681, 1.44775, 0.00972938, -0.0857681, 1.53591, 0.0114918, 0.00972956, 1.0039, 0.0116473, 0.00972956, 0.915659, 0.0116473, 0.00931473, 0.999452, 0.0114918, 0.00931473, 1.08769
